Groups:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11..0] =, fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[10], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[9], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[8], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[7], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[6], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[5], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[4], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[3], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[2], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[1], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[0],  binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fft_wrapper:inst|real_power[17..0] =, fft_wrapper:inst|real_power[17], fft_wrapper:inst|real_power[16], fft_wrapper:inst|real_power[15], fft_wrapper:inst|real_power[14], fft_wrapper:inst|real_power[13], fft_wrapper:inst|real_power[12], fft_wrapper:inst|real_power[11], fft_wrapper:inst|real_power[10], fft_wrapper:inst|real_power[9], fft_wrapper:inst|real_power[8], fft_wrapper:inst|real_power[7], fft_wrapper:inst|real_power[6], fft_wrapper:inst|real_power[5], fft_wrapper:inst|real_power[4], fft_wrapper:inst|real_power[3], fft_wrapper:inst|real_power[2], fft_wrapper:inst|real_power[1], fft_wrapper:inst|real_power[0],  signed decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fft_wrapper:inst|imag_power[17..0] =, fft_wrapper:inst|imag_power[17], fft_wrapper:inst|imag_power[16], fft_wrapper:inst|imag_power[15], fft_wrapper:inst|imag_power[14], fft_wrapper:inst|imag_power[13], fft_wrapper:inst|imag_power[12], fft_wrapper:inst|imag_power[11], fft_wrapper:inst|imag_power[10], fft_wrapper:inst|imag_power[9], fft_wrapper:inst|imag_power[8], fft_wrapper:inst|imag_power[7], fft_wrapper:inst|imag_power[6], fft_wrapper:inst|imag_power[5], fft_wrapper:inst|imag_power[4], fft_wrapper:inst|imag_power[3], fft_wrapper:inst|imag_power[2], fft_wrapper:inst|imag_power[1], fft_wrapper:inst|imag_power[0],  signed decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time unit: s, fft_wrapper:inst|sink_sop, fft_wrapper:inst|sink_eop, CLOCK_50, fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11..0], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[10], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[9], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[8], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[7], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[6], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[5], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[4], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[3], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[2], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[1], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[0], fft_wrapper:inst|fft:fft_inst|source_sop, fft_wrapper:inst|fft:fft_inst|source_eop, fft_wrapper:inst|real_power[17..0], fft_wrapper:inst|real_power[17], fft_wrapper:inst|real_power[16], fft_wrapper:inst|real_power[15], fft_wrapper:inst|real_power[14], fft_wrapper:inst|real_power[13], fft_wrapper:inst|real_power[12], fft_wrapper:inst|real_power[11], fft_wrapper:inst|real_power[10], fft_wrapper:inst|real_power[9], fft_wrapper:inst|real_power[8], fft_wrapper:inst|real_power[7], fft_wrapper:inst|real_power[6], fft_wrapper:inst|real_power[5], fft_wrapper:inst|real_power[4], fft_wrapper:inst|real_power[3], fft_wrapper:inst|real_power[2], fft_wrapper:inst|real_power[1], fft_wrapper:inst|real_power[0], fft_wrapper:inst|imag_power[17..0], fft_wrapper:inst|imag_power[17], fft_wrapper:inst|imag_power[16], fft_wrapper:inst|imag_power[15], fft_wrapper:inst|imag_power[14], fft_wrapper:inst|imag_power[13], fft_wrapper:inst|imag_power[12], fft_wrapper:inst|imag_power[11], fft_wrapper:inst|imag_power[10], fft_wrapper:inst|imag_power[9], fft_wrapper:inst|imag_power[8], fft_wrapper:inst|imag_power[7], fft_wrapper:inst|imag_power[6], fft_wrapper:inst|imag_power[5], fft_wrapper:inst|imag_power[4], fft_wrapper:inst|imag_power[3], fft_wrapper:inst|imag_power[2], fft_wrapper:inst|imag_power[1], fft_wrapper:inst|imag_power[0], 
0, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1,0,0,1,101001000,0,0,0,1,0,1,0,0,1,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, 
2,0,0,1,100111111,0,0,0,1,0,0,1,1,1,1,1,1,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,190,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0, 
3,0,0,1,100110110,0,0,0,1,0,0,1,1,0,1,1,0,0,0,-144,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
4,0,0,1,100101101,0,0,0,1,0,0,1,0,1,1,0,1,0,0,-95,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,-144,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0, 
5,0,0,1,100100100,0,0,0,1,0,0,1,0,0,1,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-83,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1, 
